play-that-funky-music | Play That Funky Music | Wild Cherry
give-up-the-funk | Give Up the Funk (Tear the Roof off the Sucker) | Parliament
get-down-tonight | Get Down Tonight | KC and the Sunshine Band
thats-the-way | That's the Way (I Like It) | KC and the Sunshine Band
boogie-shoes | Boogie Shoes | KC and the Sunshine Band
purple-rain | Purple Rain | Prince
when-doves-cry | When Doves Cry | Prince
super-freak | Super Freak | Rick James
kung-fu-fighting | Kung Fu Fighting | Carl Douglas
night-fever | Night Fever | Bee Gees
funkytown | Funkytown | Lipps Inc.
