lose-yourself | Lose Yourself | Eminem
love-the-way-you-lie | Love The Way You Lie | Eminem
without-me | Without Me | Eminem
stronger-kanye | Stronger | Kanye West
power-kanye | POWER | Kanye West
gold-digger | Gold Digger | Kanye West
humble | HUMBLE. | Kendrick Lamar
gods-plan | God's Plan | Drake
started-from-the-bottom | Started From The Bottom | Drake
hotline-bling | Hotline Bling | Drake
sicko-mode | SICKO MODE | Travis Scott
goosebumps | goosebumps | Travis Scott
in-da-club | In Da Club | 50 Cent
california-love | California Love | 2Pac ft. Dr. Dre
empire-state-of-mind | Empire State of Mind | Jay-Z ft. Alicia Keys
drop-it-like-its-hot | Drop It Like It's Hot | Snoop Dogg ft. Pharrell
gangstas-paradise | Gangsta's Paradise | Coolio ft. L.V.
yeah | Yeah! | Usher ft. Lil Jon & Ludacris
work-out | Work Out | J. Cole
no-role-modelz | No Role Modelz | J. Cole
flashing-lights | Flashing Lights | Kanye West, Dwele
heartless | Heartless | Kanye West
the-real-slim-shady | The Real Slim Shady | Eminem
ride-wit-me | Ride Wit Me | Nelly, City Spud
thrift-shop | Thrift Shop | Macklemore
killing-me-softly | Killing Me Softly | Fugees
ice-ice-baby | Ice Ice Baby | Vanilla Ice
jump-around | Jump Around | House of Pain
baby-got-back | Baby Got Back | Sir Mix-a-Lot
whoomp-there-it-is | Whoomp! (There It Is) | Tag Team
till-i-collapse | Till I Collapse | Eminem
mockingbird | Mockingbird | Eminem
the-box | The Box | Roddy Ricch
congratulations | Congratulations | Post Malone
better-now | Better Now | Post Malone
money-trees | Money Trees | Kendrick Lamar
mask-off | Mask Off | Future
not-like-us | Not Like Us | Kendrick Lamar
young-wild-and-free | Young, Wild & Free | Snoop Dogg feat. Bruno Mars
paint-the-town-red | Paint The Town Red | Doja Cat
not-afraid | Not Afraid | Eminem
run-this-town | Run This Town | JAY-Z
money-in-the-grave | Money in the Grave | Drake
