feel-good-inc | Feel Good Inc. | Gorillaz
electric-feel | Electric Feel | MGMT
kids | Kids | MGMT
pumped-up-kicks | Pumped Up Kicks | Foster the People
sit-next-to-me | Sit Next to Me | Foster the People
tongue-tied | Tongue Tied | Grouplove
time-to-pretend | Time to Pretend | MGMT
dog-days-are-over | Dog Days Are Over | Florence + The Machine
take-me-to-church | Take Me to Church | Hozier
too-sweet | Too Sweet | Hozier
ho-hey | Ho Hey | The Lumineers
riptide | Riptide | Vance Joy
pompeii | Pompeii | Bastille
sweater-weather | Sweater Weather | The Neighbourhood
daddy-issues | Daddy Issues | The Neighbourhood
everybody-talks | Everybody Talks | Neon Trees
ride | Ride | Twenty One Pilots
stressed-out | Stressed Out | Twenty One Pilots
chasing-cars | Chasing Cars | Snow Patrol
heathens | Heathens | Twenty One Pilots
bitter-sweet-symphony | Bitter Sweet Symphony | The Verve
nothing-compares-2-u | Nothing Compares 2 U | Sinéad O'Connor
dont-speak | Don't Speak | No Doubt
end-of-beginning | End of Beginning | Djo
somebody-that-i-used-to-know | Somebody That I Used To Know | Gotye
the-less-i-know-the-better | The Less I Know The Better | Tame Impala
apocalypse | Apocalypse | Cigarettes After Sex
stolen-dance | Stolen Dance | Milky Chance
