sugar-were-goin-down | Sugar, We're Goin Down | Fall Out Boy
this-aint-a-scene-its-an-arms-race | This Ain't a Scene, It's an Arms Race | Fall Out Boy
thnks-fr-th-mmrs | Thnks fr th Mmrs | Fall Out Boy
i-write-sins-not-tragedies | I Write Sins Not Tragedies | Panic! At The Disco
misery-business | Misery Business | Paramore
aint-it-fun | Ain't It Fun | Paramore
still-into-you | Still Into You | Paramore
all-the-small-things | All the Small Things | blink-182
whats-my-age-again | What's My Age Again? | blink-182
in-the-end | In the End | Linkin Park
numb | Numb | Linkin Park
somewhere-i-belong | Somewhere I Belong | Linkin Park
hard-times | Hard Times | Paramore
teenage-dirtbag | Teenage Dirtbag | Wheatus
centuries | Centuries | Fall Out Boy
dirty-little-secret | Dirty Little Secret | The All-American Rejects
my-own-worst-enemy | My Own Worst Enemy | Lit
ocean-avenue | Ocean Avenue | Yellowcard
the-middle-jimmy-eat-world | The Middle | Jimmy Eat World
