dancing-queen | Dancing Queen | ABBA
stayin-alive | Stayin' Alive | Bee Gees
i-will-survive | I Will Survive | Gloria Gaynor
take-on-me | Take On Me | a-ha
wake-me-up-before-you-go-go | Wake Me Up Before You Go-Go | Wham!
like-a-prayer | Like A Prayer | Madonna
material-girl | Material Girl | Madonna
girls-just-want-to-have-fun | Girls Just Want To Have Fun | Cyndi Lauper
i-wanna-dance-with-somebody | I Wanna Dance With Somebody | Whitney Houston
how-will-i-know | How Will I Know | Whitney Houston
beat-it | Beat It | Michael Jackson
smooth-criminal | Smooth Criminal | Michael Jackson
man-in-the-mirror | Man In The Mirror | Michael Jackson
dont-stop-til-you-get-enough | Don't Stop 'Til You Get Enough | Michael Jackson
kiss-from-a-rose | Kiss From A Rose | Seal
i-want-it-that-way | I Want It That Way | Backstreet Boys
quit-playing-games-with-my-heart | Quit Playing Games With My Heart | Backstreet Boys
baby-one-more-time | ...Baby One More Time | Britney Spears
oops-i-did-it-again | Oops!... I Did It Again | Britney Spears
toxic | Toxic | Britney Spears
cant-get-you-out-of-my-head | Can't Get You Out Of My Head | Kylie Minogue
since-u-been-gone | Since U Been Gone | Kelly Clarkson
stronger-what-doesnt-kill-you | Stronger (What Doesn't Kill You) | Kelly Clarkson
bleeding-love | Bleeding Love | Leona Lewis
rolling-in-the-deep | Rolling In The Deep | Adele
set-fire-to-the-rain | Set Fire To The Rain | Adele
someone-like-you | Someone Like You | Adele
firework | Firework | Katy Perry
teenage-dream | Teenage Dream | Katy Perry
last-friday-night-new | Last Friday Night | Katy Perry
call-me-maybe | Call Me Maybe | Carly Rae Jepsen
party-in-the-usa | Party In The USA | Miley Cyrus
wrecking-ball | Wrecking Ball | Miley Cyrus
we-found-love | We Found Love | Rihanna feat. Calvin Harris
only-girl-in-the-world | Only Girl In The World | Rihanna
diamonds | Diamonds | Rihanna
umbrella | Umbrella | Rihanna
locked-out-of-heaven | Locked Out Of Heaven | Bruno Mars
just-the-way-you-are | Just The Way You Are | Bruno Mars
uptown-funk | Uptown Funk | Mark Ronson feat. Bruno Mars
thats-what-i-like | That's What I Like | Bruno Mars
shape-of-you-new | Shape Of You | Ed Sheeran
thinking-out-loud | Thinking Out Loud | Ed Sheeran
perfect-ed-sheeran | Perfect | Ed Sheeran
cant-feel-my-face | Can't Feel My Face | The Weeknd
save-your-tears | Save Your Tears | The Weeknd
levitating | Levitating | Dua Lipa
dont-start-now | Don't Start Now | Dua Lipa
new-rules | New Rules | Dua Lipa
bad-romance | Bad Romance | Lady Gaga
just-dance | Just Dance | Lady Gaga
poker-face | Poker Face | Lady Gaga
shallow | Shallow | Lady Gaga
counting-stars | Counting Stars | OneRepublic
apologize | Apologize | OneRepublic
secrets | Secrets | OneRepublic
high-hopes | High Hopes | Panic! At The Disco
complicated | Complicated | Avril Lavigne
sk8er-boi | Sk8er Boi | Avril Lavigne
girlfriend | Girlfriend | Avril Lavigne
because-of-you | Because of You | Kelly Clarkson
love-story | Love Story | Taylor Swift
you-belong-with-me | You Belong with Me | Taylor Swift
shake-it-off | Shake It Off | Taylor Swift
blank-space | Blank Space | Taylor Swift
we-are-never-ever-getting-back-together | We Are Never Ever Getting Back Together | Taylor Swift
cruel-summer | Cruel Summer | Taylor Swift
style | Style | Taylor Swift
moves-like-jagger | Moves Like Jagger | Maroon 5
sugar | Sugar | Maroon 5
she-will-be-loved | She Will Be Loved | Maroon 5
this-love | This Love | Maroon 5
payphone | Payphone | Maroon 5
fireflies | Fireflies | Owl City
good-time | Good Time | Owl City & Carly Rae Jepsen
stereo-hearts | Stereo Hearts | Gym Class Heroes feat. Adam Levine
hey-soul-sister | Hey, Soul Sister | Train
drive-by | Drive By | Train
drops-of-jupiter | Drops of Jupiter | Train
i-gotta-feeling | I Gotta Feeling | The Black Eyed Peas
boom-boom-pow | Boom Boom Pow | The Black Eyed Peas
where-is-the-love | Where Is the Love? | The Black Eyed Peas
party-rock-anthem | Party Rock Anthem | LMFAO
sexy-and-i-know-it | Sexy and I Know It | LMFAO
tik-tok | TiK ToK | Kesha
die-young | Die Young | Kesha
we-r-who-we-r | We R Who We R | Kesha
domino | Domino | Jessie J
price-tag | Price Tag | Jessie J
bang-bang | Bang Bang | Jessie J, Ariana Grande & Nicki Minaj
problem | Problem | Ariana Grande
break-free | Break Free | Ariana Grande
no-tears-left-to-cry | No Tears Left to Cry | Ariana Grande
thank-u-next | Thank U, Next | Ariana Grande
havana | Havana | Camila Cabello
seorita | Señorita | Shawn Mendes & Camila Cabello
treat-you-better | Treat You Better | Shawn Mendes
stitches | Stitches | Shawn Mendes
theres-nothing-holdin-me-back | There's Nothing Holdin' Me Back | Shawn Mendes
cant-stop-the-feeling | Can't Stop the Feeling! | Justin Timberlake
mirrors | Mirrors | Justin Timberlake
rock-your-body | Rock Your Body | Justin Timberlake
sexyback | SexyBack | Justin Timberlake
cry-me-a-river | Cry Me a River | Justin Timberlake
last-friday-night-tgif | Last Friday Night (T.G.I.F.) | Katy Perry
shut-up-and-dance | Shut Up and Dance | WALK THE MOON
shotgun | Shotgun | George Ezra
happier | Happier | Marshmello & Bastille
some-nights | Some Nights | fun.
we-are-young | We Are Young | fun.
carry-on | Carry On | fun.
best-day-of-my-life | Best Day of My Life | American Authors
let-her-go | Let Her Go | Passenger
turn-me-on | Turn Me On | David Guetta feat. Nicki Minaj
the-middle | The Middle | Zedd, Maren Morris & Grey
closer | Closer | The Chainsmokers feat. Halsey
dont-let-me-down | Don't Let Me Down | The Chainsmokers feat. Daya
something-just-like-this | Something Just Like This | The Chainsmokers & Coldplay
paris | Paris | The Chainsmokers
stay-cara | Stay | Zedd & Alessia Cara
scars-to-your-beautiful | Scars to Your Beautiful | Alessia Cara
no-roots | No Roots | Alice Merton
lost-on-you | Lost on You | LP
blinding-lights | Blinding Lights | The Weeknd
sign-of-the-times | Sign of the Times | Harry Styles
adore-you | Adore You | Harry Styles
deja-vu | deja vu | Olivia Rodrigo
taste | Taste | Sabrina Carpenter
beautiful-things | Beautiful Things | Benson Boone
how-to-save-a-life | How to Save a Life | The Fray
dont-stop-the-music | Don't Stop The Music | Rihanna
uptown-funk-feat-bruno-mars | Uptown Funk | Mark Ronson, Bruno Mars
cheerleader---felix-jaehn-remix-radio-edit | Cheerleader | OMI
