say-my-name | Say My Name | Destiny's Child
no-scrubs | No Scrubs | TLC
waterfalls | Waterfalls | TLC
this-is-how-we-do-it | This Is How We Do It | Montell Jordan
i-believe-i-can-fly | I Believe I Can Fly | R. Kelly
return-of-the-mack | Return Of The Mack | Mark Morrison
irreplaceable | Irreplaceable | Beyoncé
single-ladies-put-a-ring-on-it | Single Ladies (Put a Ring on It) | Beyoncé
crazy-in-love | Crazy in Love | Beyoncé feat. Jay-Z
drunk-in-love | Drunk in Love | Beyoncé feat. Jay-Z
halo | Halo | Beyoncé
aint-no-mountain-high-enough | Ain't No Mountain High Enough | Marvin Gaye & Tammi Terrell
signed-sealed-delivered | Signed, Sealed, Delivered I'm Yours | Stevie Wonder
lets-stay-together | Let's Stay Together | Al Green
i-cant-help-myself | I Can't Help Myself (Sugar Pie Honey Bunch) | Four Tops
aint-too-proud-to-beg | Ain't Too Proud to Beg | The Temptations
whats-going-on | What's Going On | Marvin Gaye
i-heard-it-through-the-grapevine | I Heard It Through the Grapevine | Marvin Gaye
lean-on-me | Lean on Me | Bill Withers
lovely-day | Lovely Day | Bill Withers
just-the-two-of-us | Just the Two of Us | Bill Withers
aint-no-sunshine | Ain't No Sunshine | Bill Withers
superstition | Superstition | Stevie Wonder
isnt-she-lovely | Isn't She Lovely | Stevie Wonder
i-wish | I Wish | Stevie Wonder
lets-get-it-on | Let's Get It On | Marvin Gaye
if-i-aint-got-you | If I Ain't Got You | Alicia Keys
no-one | No One | Alicia Keys
all-of-me | All of Me | John Legend
dj-got-us-fallin-in-love-feat-pitbull | DJ Got Us Fallin' In Love | USHER, Pitbull
kiss-me-more-feat-sza | Kiss Me More | Doja Cat, SZA
the-hardest-part | The Hardest Part | Olivia Dean
no-lie | No Lie | Sean Paul, Dua Lipa
hold-on | Hold On | The Internet
coming-home | Coming Home | Leon Bridges
better-than | Better Than | Lake Street Dive
happy | Happy | Pharrell Williams
blurred-lines | Blurred Lines | Robin Thicke
stay-with-me | Stay With Me | Sam Smith
calm-down | Calm Down | Rema & Selena Gomez
needed-me | Needed Me | Rihanna
survivor | Survivor | Destiny's Child
lady-marmalade | Lady Marmalade | Christina Aguilera, Lil' Kim, Mýa & Pink
redbone | Redbone | Childish Gambino
run-it | Run It | Chris Brown
let-me-love-you | Let Me Love You | Mario
beautiful-girls | Beautiful Girls | Sean Kingston
respect | Respect | Aretha Franklin
stand-by-me | Stand By Me | Ben E. King
im-every-woman | I'm Every Woman | Whitney Houston
september | September | Earth, Wind & Fire
boogie-wonderland | Boogie Wonderland | Earth, Wind & Fire
lets-groove | Let's Groove | Earth, Wind & Fire
midnight-train-to-georgia | Midnight Train to Georgia | Gladys Knight & the Pips
chain-gang | Chain Gang | Sam Cooke
save-the-last-dance-for-me | Save the Last Dance for Me | The Drifters
georgia-on-my-mind | Georgia on My Mind | Ray Charles
wonderful-world | Wonderful World | Sam Cooke
rock-with-you | Rock with You | Michael Jackson
lose-control | Lose Control | Teddy Swims
call-out-my-name | Call Out My Name | The Weeknd
i-feel-it-coming | I Feel It Coming | The Weeknd
love-on-the-brain | Love On The Brain | Rihanna
woman-doja-cat | Woman | Doja Cat
earned-it | Earned It | The Weeknd
young-dumb-and-broke | Young Dumb & Broke | Khalid
leave-the-door-open | Leave The Door Open | Bruno Mars
back-to-black | Back To Black | Amy Winehouse
girl-on-fire | Girl on Fire | Alicia Keys
we-are-family | We Are Family | Sister Sledge
