sweet-home-alabama | Sweet Home Alabama | Lynyrd Skynyrd
hotel-california | Hotel California | Eagles
we-will-rock-you | We Will Rock You | Queen
we-are-the-champions | We Are The Champions | Queen
another-brick-in-the-wall | Another Brick In The Wall | Pink Floyd
every-breath-you-take | Every Breath You Take | The Police
dont-stop-believin | Don't Stop Believin' | Journey
livin-on-a-prayer | Livin' On A Prayer | Bon Jovi
sweet-child-o-mine | Sweet Child O' Mine | Guns N' Roses
pour-some-sugar-on-me | Pour Some Sugar On Me | Def Leppard
mr-brightside | Mr. Brightside | The Killers
boulevard-of-broken-dreams | Boulevard of Broken Dreams | Green Day
american-idiot | American Idiot | Green Day
smells-like-teen-spirit | Smells Like Teen Spirit | Nirvana
come-as-you-are | Come As You Are | Nirvana
seven-nation-army | Seven Nation Army | The White Stripes
use-somebody | Use Somebody | Kings of Leon
sex-on-fire | Sex on Fire | Kings of Leon
radioactive | Radioactive | Imagine Dragons
demons | Demons | Imagine Dragons
viva-la-vida | Viva La Vida | Coldplay
fix-you | Fix You | Coldplay
clocks | Clocks | Coldplay
paradise | Paradise | Coldplay
yellow | Yellow | Coldplay
the-scientist | The Scientist | Coldplay
bring-me-to-life | Bring Me to Life | Evanescence
my-immortal | My Immortal | Evanescence
take-me-out | Take Me Out | Franz Ferdinand
thunder | Thunder | Imagine Dragons
whatever-it-takes | Whatever It Takes | Imagine Dragons
on-top-of-the-world | On Top of the World | Imagine Dragons
island-in-the-sun | Island In The Sun | Weezer
cant-stop | Can't Stop | Red Hot Chili Peppers
somebody-told-me | Somebody Told Me | The Killers
all-i-need | All I Need | Radiohead
do-i-wanna-know | Do I Wanna Know? | Arctic Monkeys
the-adults-are-talking | The Adults Are Talking | The Strokes
californication | Californication | Red Hot Chili Peppers
under-the-bridge | Under the Bridge | Red Hot Chili Peppers
closing-time | Closing Time | Semisonic
r-u-mine | R U Mine? | Arctic Monkeys
losing-my-religion | Losing My Religion | R.E.M.
everybody-hurts | Everybody Hurts | R.E.M.
bad-at-love | Bad At Love | Halsey
bohemian-rhapsody | Bohemian Rhapsody | Queen
